26 May 2007   7:27:05.865 AM                                                    
 
NINT_EXACTNESS
  FORTRAN90 version
 
  Investigate the polynomial exactness of a quadrature
  rule by integrating all monomials of a given degree
  over the [0,1] hypercube.
 
  The rule will be adjusted to the [0,1] hypercube.
 
NINT_EXACTNESS: User input:
  Quadrature rule X file = "f2_d2_level2_x.txt".
  Quadrature rule W file = "f2_d2_level2_w.txt".
  Quadrature rule R file = "f2_d2_level2_r.txt".
  Maximum total degree to check =        9
 
  Spatial dimension =        2
  Number of points  =       17
 
          Error          Degree  Exponents
 
        0.0000000000000000    0     0 0
 
        0.0000000000000000    1     1 0
        0.0000000000000000    1     0 1
 
        0.0000000000000002    2     2 0
        0.0000000000000000    2     1 1
        0.0000000000000002    2     0 2
 
        0.0000000000000002    3     3 0
        0.0000000000000000    3     2 1
        0.0000000000000000    3     1 2
        0.0000000000000002    3     0 3
 
        0.0000000000000001    4     4 0
        0.0000000000000000    4     3 1
        0.0000000000000000    4     2 2
        0.0000000000000000    4     1 3
        0.0000000000000000    4     0 4
 
        0.0000000000000000    5     5 0
        0.0000000000000000    5     4 1
        0.0000000000000000    5     3 2
        0.0000000000000002    5     2 3
        0.0000000000000000    5     1 4
        0.0000000000000002    5     0 5
 
        0.0000000000000000    6     6 0
        0.0000000000000002    6     5 1
        0.0026041666666666    6     4 2
        0.0000000000000000    6     3 3
        0.0026041666666666    6     2 4
        0.0000000000000002    6     1 5
        0.0000000000000002    6     0 6
 
        0.0000000000000000    7     7 0
        0.0000000000000002    7     6 1
        0.0078125000000000    7     5 2
        0.0052083333333336    7     4 3
        0.0052083333333335    7     3 4
        0.0078125000000000    7     2 5
        0.0000000000000004    7     1 6
        0.0000000000000000    7     0 7
 
        0.0000348772321427    8     8 0
        0.0000000000000002    8     7 1
        0.0152994791666665    8     6 2
        0.0156250000000001    8     5 3
        0.0142144097222225    8     4 4
        0.0156250000000003    8     3 5
        0.0152994791666667    8     2 6
        0.0000000000000000    8     1 7
        0.0000348772321426    8     0 8
 
        0.0001743861607141    9     9 0
        0.0000348772321427    9     8 1
        0.0247395833333334    9     7 2
        0.0305989583333331    9     6 3
        0.0296223958333336    9     5 4
        0.0296223958333336    9     4 5
        0.0305989583333334    9     3 6
        0.0247395833333333    9     2 7
        0.0000348772321427    9     1 8
        0.0001743861607140    9     0 9
 
 
NINT_EXACTNESS:
  Normal end of execution.
 
26 May 2007   7:27:05.935 AM                                                    
